Field ID	Description	Category
23008	pp 52 antigen for Human Cytomegalovirus	Infectious Disease Antigens  
23007	pp150 Nter antigen for Human Cytomegalovirus	Infectious Disease Antigens  
23021	sag1 antigen for Toxoplasma gondii	Infectious Disease Antigens  
23035	tarp-D F1 antigen for Chlamydia trachomatis	Infectious Disease Antigens  
23036	tarp-D F2 antigen for Chlamydia trachomatis	Infectious Disease Antigens  
23065	BKV seropositivity for Human Polyomavirus BKV	Infectious Diseases  
23070	C. trachomatis Definition I seropositivity for Chlamydia trachomatis	Infectious Diseases  
23071	C. trachomatis Definition II seropositivity for Chlamydia trachomatis	Infectious Diseases  
23054	CMV seropositivity for Human Cytomegalovirus	Infectious Diseases  
23053	EBV seropositivity for Epstein-Barr Virus	Infectious Diseases  
23073	H. pylori Definition I seropositivity for Helicobacter pylori	Infectious Diseases  
23074	H. pylori Definition II seropositivity for Helicobacter pylori	Infectious Diseases  
23060	HBV seropositivity for Hepatitis B Virus	Infectious Diseases  
23061	HCV seropositivity for Hepatitis C Virus	Infectious Diseases  
23055	HHV-6 overall seropositivity for Human Herpesvirus-6	Infectious Diseases  
23056	HHV-6A seropositivity for Human Herpesvirus-6	Infectious Diseases  
23057	HHV-6B seropositivity for Human Herpesvirus-6	Infectious Diseases  
23058	HHV-7 seropositivity for Human Herpesvirus-7	Infectious Diseases  
23064	HIV-1 seropositivity for Human Immunodeficiency Virus	Infectious Diseases  
23068	HPV 16 Definition I seropositivity for Human Papillomavirus type-16	Infectious Diseases  
23075	HPV 16 Definition II seropositivity for Human Papillomavirus type-16	Infectious Diseases  
23069	HPV 18 seropositivity for Human Papillomavirus type-18	Infectious Diseases  
23050	HSV-1 seropositivity for Herpes Simplex virus-1	Infectious Diseases  
23051	HSV-2 seropositivity for Herpes Simplex virus-2	Infectious Diseases  
23063	HTLV-1 seropositivity for Human T-Lymphotropic Virus 1	Infectious Diseases  
23066	JCV seropositivity for Human Polyomavirus JCV	Infectious Diseases  
23059	KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus	Infectious Diseases  
23067	MCV seropositivity for Merkel Cell Polyomavirus	Infectious Diseases  
23062	T. gondii seropositivity for Toxoplasma gondii	Infectious Diseases  
23052	VZV seropositivity for Varicella Zoster Virus	Infectious Diseases  
30510	Creatinine (enzymatic) in urine	Urine assays  
30515	Creatinine (enzymatic) in urine result flag	Urine assays  
30500	Microalbumin in urine	Urine assays  
30505	Microalbumin in urine result flag	Urine assays  
30520	Potassium in urine	Urine assays  
30525	Potassium in urine result flag	Urine assays  
30530	Sodium in urine	Urine assays  
30535	Sodium in urine result flag	Urine assays  
30512	Creatinine (enzymatic) in urine acquisition time	Urine processing  
30513	Creatinine (enzymatic) in urine device ID	Urine processing  
30502	Microalbumin in urine acquisition time	Urine processing  
30503	Microalbumin in urine device ID	Urine processing  
30522	Potassium in urine acquisition time	Urine processing  
30523	Potassium in urine device ID	Urine processing  
30532	Sodium in urine acquisition time	Urine processing  
30533	Sodium in urine device ID	Urine processing  
