Subtype,Indicator,Beta,LogP,Category
4,Peak expiratory flow,-0.09181237119346079,13.522263236483978,Pulmonary
5,Peak expiratory flow,-0.20990210917669033,33.71207217519953,Pulmonary
1,Creatinine,-0.09754830521260646,19.922801187090577,Renal
2,Creatinine,0.30246482275284264,161.72936285264947,Renal
3,Creatinine,-0.4259192754709832,200.0,Renal
4,Creatinine,-0.05466312741923253,5.639914859270134,Renal
5,Creatinine,0.44455966479199593,162.91204784863515,Renal
1,Cystatin C,-0.49083930073315074,200.0,Renal
2,Cystatin C,0.32866335393475166,149.05410326964014,Renal
3,Cystatin C,-0.7472720310116091,200.0,Renal
4,Cystatin C,0.3083175623903391,122.91766746452929,Renal
5,Cystatin C,1.2032143854641817,200.0,Renal
1,Sodium in urine,-0.12283437448749022,22.79298883833068,Renal
2,Sodium in urine,-0.06514785253669582,6.124328460758418,Renal
3,Sodium in urine,0.01601995011786778,0.5637102534044927,Renal
4,Sodium in urine,0.1899405582531054,43.52711208289774,Renal
5,Sodium in urine,0.033605375440463825,1.0922049358580552,Renal
1,Glucose,-0.12528466411108435,20.00691679007528,Metabolic
2,Glucose,-0.11317071244942406,14.590334955440511,Metabolic
3,Glucose,0.08355676417023764,6.800327279863068,Metabolic
4,Glucose,0.1849905596961027,34.7647305118141,Metabolic
5,Glucose,0.03868663428817379,1.1571208303807976,Metabolic
1,Cholesterol,0.0791147440246393,9.242359886427689,Metabolic
2,Cholesterol,0.19404537417293072,45.26800634031953,Metabolic
3,Cholesterol,-0.13087176904994693,17.301995931029982,Metabolic
4,Cholesterol,-0.07988686071692437,7.841444153867019,Metabolic
5,Cholesterol,-0.2179587947036065,27.355604966499353,Metabolic
1,High-density lipoprotein cholesterol,0.400344237404346,200.0,Metabolic
2,High-density lipoprotein cholesterol,0.1600181617195022,33.960244461212156,Metabolic
3,High-density lipoprotein cholesterol,0.07336876859843992,6.420879373916926,Metabolic
4,High-density lipoprotein cholesterol,-0.4866927056309141,200.0,Metabolic
5,High-density lipoprotein cholesterol,-0.4616460385080521,131.33468948562737,Metabolic
1,Low-density lipoprotein cholesterol,0.023363640285834892,1.148118560591972,Metabolic
2,Low-density lipoprotein cholesterol,0.1742991057744803,35.69865572630864,Metabolic
3,Low-density lipoprotein cholesterol,-0.14538806558326642,20.596875200912553,Metabolic
4,Low-density lipoprotein cholesterol,-0.010730879514069654,0.3437952913665192,Metabolic
5,Low-density lipoprotein cholesterol,-0.1536770068723041,13.637186710857124,Metabolic
1,Triglycerides,-0.4131841654678335,200.0,Metabolic
2,Triglycerides,-0.06261677403556584,5.454777649002733,Metabolic
3,Triglycerides,-0.15155643052334308,23.4581661085611,Metabolic
4,Triglycerides,0.5273600471393448,200.0,Metabolic
5,Triglycerides,0.36033591395127096,74.02219114565298,Metabolic
