feature,subtype,p_value,sign,signed_log10FDR
Height,2,0.22153719900698282,-1.0,-0.3630686618093755
Height,3,0.9549121370417102,-1.0,-0.014358253139882617
Height,4,0.03511561776893737,-1.0,-0.9773784321669154
Height,5,0.005201639634887858,-1.0,-1.6413710902619196
High density lipoprotein cholesterol,1,2.4882893366235436e-10,1.0,8.25191660346107
High density lipoprotein cholesterol,2,4.025366681459738e-06,1.0,4.418675648293162
High density lipoprotein cholesterol,3,0.8422052030409468,1.0,0.034153422833557594
High density lipoprotein cholesterol,4,3.098585713448293e-19,-1.0,-16.952533985074997
High density lipoprotein cholesterol,5,2.7435979437723888e-05,-1.0,-3.704347034870196
Hypertension,1,4.5126461217497207e-10,-1.0,-8.130899087774294
Hypertension,2,0.03094365080584676,-1.0,-1.0046182791242724
Hypertension,3,0.7592814070962794,-1.0,-0.05744932802930808
Hypertension,4,4.520860354742674e-10,1.0,8.130899087774294
Hypertension,5,8.001629175787837e-06,1.0,4.163768368886158
Intraocular pressure,1,0.49457882488850125,-1.0,-0.14740198955302738
Intraocular pressure,2,0.26514973490800525,1.0,0.32123629764180345
Intraocular pressure,3,0.7240306230513354,-1.0,-0.06958009625074942
Intraocular pressure,4,0.6614127460037165,-1.0,-0.08562293723777237
Intraocular pressure,5,0.6015549501823109,1.0,0.10846699020651798
Ischaemic stroke,1,7.448500472163695e-11,-1.0,-8.717756685278585
Ischaemic stroke,2,0.006202888533322756,-1.0,-1.5753828083852788
Ischaemic stroke,3,0.9674794451360238,1.0,0.014358253139882617
Ischaemic stroke,4,2.8127857183606197e-10,1.0,8.249833356023727
Ischaemic stroke,5,2.239368694604823e-07,1.0,5.540729927906917
Low density lipoprotein cholesterol,1,0.8037139614777514,-1.0,-0.05019177156689753
Low density lipoprotein cholesterol,2,0.2487274606213077,-1.0,-0.3402298346238859
Low density lipoprotein cholesterol,3,0.004118606716360608,1.0,1.7320371628453197
Low density lipoprotein cholesterol,4,0.24275679925234853,-1.0,-0.3402298346238859
Low density lipoprotein cholesterol,5,0.9616283564377477,-1.0,-0.014358253139882617
Melanoma,1,0.2285142155736135,1.0,0.3542972213067158
Melanoma,2,0.6927621540047159,1.0,0.07587736152301182
Melanoma,3,0.24843936613660206,1.0,0.3402298346238859
Melanoma,4,0.06615167509558426,-1.0,-0.7437305845521083
Melanoma,5,0.1696799335315572,-1.0,-0.45306946398386294
Multiple sclerosis,1,0.8507287977858549,1.0,0.032631245603872844
Multiple sclerosis,2,0.09758509219676617,-1.0,-0.6186668782438272
Multiple sclerosis,3,0.6372368199402925,1.0,0.09776198953019871
Multiple sclerosis,4,0.925627872647258,1.0,0.01633717434341516
Multiple sclerosis,5,0.17162044104523316,1.0,0.45306946398386294
Osteoporosis,1,0.673044709184972,1.0,0.08400091503843801
Osteoporosis,2,0.913827782680733,1.0,0.019391584230850693
Osteoporosis,3,0.1974514313730346,1.0,0.40830860082839865
Osteoporosis,4,0.04307529145295746,-1.0,-0.902890959772666
Osteoporosis,5,0.728900284067927,1.0,0.06958009625074942
Parkinson's disease,1,0.33885247688057885,1.0,0.24814058587126686
Parkinson's disease,2,0.03181803501942388,1.0,1.0046182791242724
Parkinson's disease,3,0.8619129413381015,-1.0,-0.0319805644955263
Parkinson's disease,4,0.007002059108129648,-1.0,-1.5329701779195612
Parkinson's disease,5,0.5585745352531142,-1.0,-0.12149800301497607
Primary open angle glaucoma,1,0.9373988902734178,1.0,0.01544620733955074
Primary open angle glaucoma,2,0.6005087252075771,1.0,0.10846699020651798
Primary open angle glaucoma,3,0.024585032788714246,1.0,1.0864504628806217
Primary open angle glaucoma,4,0.7707967878089926,-1.0,-0.05368725118205584
Primary open angle glaucoma,5,0.0006310891617647297,-1.0,-2.4359984670036474
Prostate cancer,1,0.017347331327366915,1.0,1.2044648258085358
Prostate cancer,2,0.24490283578649336,1.0,0.3402298346238859
Prostate cancer,3,0.8065642513672436,1.0,0.05019177156689753
Prostate cancer,4,0.07276349538287204,-1.0,-0.7088887442452204
Prostate cancer,5,0.0014292813311023583,-1.0,-2.121088690831735
Psoriasis,1,4.360066776046241e-06,-1.0,-4.406264349859445
Psoriasis,2,0.35699045591257106,1.0,0.23739386821516922
Psoriasis,3,0.635758035565567,-1.0,-0.09776198953019871
Psoriasis,4,0.016637158450967745,1.0,1.2138444221078453
Psoriasis,5,0.0022259101593153203,1.0,1.9535223640125476
Rheumatoid arthritis,1,0.09207556402510407,-1.0,-0.6256811470284195
Rheumatoid arthritis,2,0.5803684741186734,-1.0,-0.11135745006045257
Rheumatoid arthritis,3,0.09559439425785188,1.0,0.6186668782438272
Rheumatoid arthritis,4,0.5987283023265888,1.0,0.10846699020651798
Rheumatoid arthritis,5,0.6154426891103296,1.0,0.10166791353828343
Schizophrenia,1,0.02274989555028864,-1.0,-1.1045396634538647
Schizophrenia,2,0.952889954182776,-1.0,-0.014358253139882617
Schizophrenia,3,0.343380776272768,1.0,0.24637801474495138
Schizophrenia,4,0.6387457117000557,1.0,0.09776198953019871
Schizophrenia,5,0.0837666535378263,1.0,0.6541652417974665
Systemic lupus erythematosus,1,0.9630329986147825,1.0,0.014358253139882617
Systemic lupus erythematosus,2,0.003201602694659658,-1.0,-1.8191436546930921
Systemic lupus erythematosus,3,0.8734214210067388,1.0,0.028812937662215606
Systemic lupus erythematosus,4,0.2574952536187593,1.0,0.32959346134491696
Systemic lupus erythematosus,5,0.015917501791028816,1.0,1.2138444221078453
Type 1 diabetes,1,0.5576960013572207,-1.0,-0.12149800301497607
Type 1 diabetes,2,0.19630193656461126,-1.0,-0.40830860082839865
Type 1 diabetes,3,0.4526903476282891,1.0,0.16810750648101289
Type 1 diabetes,4,0.8067209357136454,1.0,0.05019177156689753
Type 1 diabetes,5,0.1433105525733012,1.0,0.4969343432271254
Type 2 diabetes,1,1.0069269514183097e-26,-1.0,-24.218850784272927
Type 2 diabetes,2,2.0365510760174418e-06,-1.0,-4.666281109756525
Type 2 diabetes,3,0.8554691199356409,-1.0,-0.032631245603872844
Type 2 diabetes,4,9.331342387571338e-40,1.0,36.77478336995203
Type 2 diabetes,5,1.6816964051698984e-07,1.0,5.632923251377821
Ulcerative colitis,1,0.15104112915704368,-1.0,-0.4794461236047521
Ulcerative colitis,2,0.7569776769220721,-1.0,-0.05744932802930808
Ulcerative colitis,3,0.17036345627683888,-1.0,-0.45306946398386294
Ulcerative colitis,4,0.11933136542738126,1.0,0.5544636100813569
Ulcerative colitis,5,0.022168167926678698,1.0,1.1065678683723092
Venous thromboembolic disease,1,0.12139217534332852,-1.0,-0.5526314035557861
Venous thromboembolic disease,2,0.512999637437433,-1.0,-0.13954523512998082
Venous thromboembolic disease,3,0.7963045984383083,-1.0,-0.05019177156689753
Venous thromboembolic disease,4,0.35372447773288573,1.0,0.23745506602332694
Venous thromboembolic disease,5,0.01663497630511283,1.0,1.2138444221078453
