Biomarker,Subtype,Age,Coefficient,p,t
NTRK2,3,49.0,0.31880197433893,2.973356074723015e-11,6.693674304679292
TNFRSF19,3,64.0,0.2268557755564597,2.8230687730652617e-11,6.691919781768225
NEFL,3,49.0,0.2897606715463474,4.121535629621288e-11,6.64445249800456
PAMR1,3,49.0,0.33521790276319585,4.474036622606072e-11,6.632029904919721
NOTCH3,3,64.0,0.24108224358484442,4.3475527811296655e-11,6.6271002606484055
DTX3,3,64.0,0.2325065067871855,4.820410956088946e-11,6.611514748865791
NFASC,3,49.0,0.2968766159322414,5.661651317073939e-11,6.596274882304978
NPC2,3,64.0,0.2361447052738344,5.936739249136265e-11,6.57996761424723
NPL,3,49.0,0.3022262761754788,6.659937041009236e-11,6.571508467361974
TNFRSF11B,3,64.0,0.24422185266088695,7.46269409314389e-11,6.54516179382833
COLEC12,3,64.0,0.22286908237817293,8.37985390418363e-11,6.527460219258421
ERBB4,3,49.0,0.2877228938966785,8.943854876975593e-11,6.526322668948118
EPS8L2,3,49.0,0.28492114217013154,1.0456566257283532e-10,6.502260348936588
COL6A3,3,64.0,0.2166187779130558,1.1593945862082883e-10,6.477645392068112
LECT2,3,64.0,0.2642334084674517,1.2049675999177132e-10,6.471706171028526
EPHA2,3,64.0,0.2513329147677905,1.649260773433658e-10,6.423167457573148
IGFBPL1,3,64.0,0.2536754690043108,2.0169376180135572e-10,6.391867039093599
DPT,3,49.0,0.30579564342917065,2.2744844138514033e-10,6.381375387255484
SCRG1,3,49.0,0.2857958265288042,2.467668292221692e-10,6.368573669126881
ROBO2,3,49.0,0.27345455143283937,3.03897480786533e-10,6.335764636581185
CD302,3,64.0,0.24033501962200465,3.000749266489268e-10,6.329662134064283
SETMAR,3,49.0,0.2857530375613505,3.615594522678857e-10,6.308274192008347
CPB2,3,49.0,0.3105520984383013,4.6191819314067745e-10,6.269327831141133
PRELP,3,64.0,0.2535198598624116,7.512046108178408e-10,6.183789548922997
LMOD1,3,64.0,0.2439108604144529,1.116908917834998e-09,6.119751612741316
LGALS3,3,49.0,0.300713869444574,1.1950225684083713e-09,6.116074209366949
ITGB1,3,49.0,0.25820653183430897,1.2852206298586577e-09,6.104198445309827
GIP,3,64.0,0.2849861311870071,1.3951182485691842e-09,6.083572410025112
FSTL3,3,64.0,0.20328566328435513,1.6732543898987619e-09,6.053853951445242
CD276,3,64.0,0.24754653032654927,2.0007226281924197e-09,6.0245036173619875
LAYN,3,64.0,0.2014067810015506,2.125760944606346e-09,6.014519233872768
SCARB2,3,64.0,0.20006473919830714,2.180180132449861e-09,6.010351492296607
HSPB6,3,49.0,0.2688961473657253,2.5827240936534994e-09,5.989209500780579
CST3,3,64.0,0.20936651352324498,2.7653339343115854e-09,5.971020539519897
FOLR1,3,64.0,0.21902553677940845,2.793282985974388e-09,5.969351734294986
SORCS2,3,64.0,0.2533226735262547,2.9311296328111776e-09,5.96135203919746
ACVRL1,3,64.0,0.207120217859694,3.4655250725449885e-09,5.933462138483961
LMOD1,3,49.0,0.2631865114955435,3.808625582087542e-09,5.924335624221746
COMP,3,49.0,0.25547625621429704,5.287291165174215e-09,5.8690405637408976
ADM,3,64.0,0.23126301453932827,5.21392865847763e-09,5.864930123273765
TREM2,3,64.0,0.22123655019895946,6.812446071982916e-09,5.819663181662809
TFF2,3,64.0,0.2252886839701669,7.8464519085009e-09,5.795612237984099
LIPF,3,49.0,0.2877691208728481,8.738291100480106e-09,5.7834235042976125
TSPAN1,3,64.0,0.3062453984838017,9.135415195720079e-09,5.769622767171211
PLAT,3,49.0,0.2626129240216243,1.0323495436365679e-08,5.754758954879286
SHISA5,3,64.0,0.20267420617591314,1.260185139649718e-08,5.714298755926579
SMOC1,3,49.0,0.2636368438367215,1.3940302304523554e-08,5.702783414593911
CCDC80,3,49.0,0.21118420307601116,1.4769444817532718e-08,5.692736221594938
IL17D,3,49.0,0.2590054373950318,1.8207292919716572e-08,5.656210548448027
WNT9A,3,49.0,0.25728102694460697,1.869665641565408e-08,5.651565877211782
MARCO,3,49.0,0.2665987185466525,1.919521154579805e-08,5.646953914439674
ACAN,3,49.0,0.26110620364455284,2.013957857628222e-08,5.638528407738346
CRIM1,3,64.0,0.20175906065877827,1.9547828040057054e-08,5.63799403601164
SRPX,3,64.0,0.22037395220091013,2.4503566879527973e-08,5.5983509072826445
IL6ST,3,49.0,0.2659797545541154,2.5428875121071927e-08,5.597453509207392
AOC3,3,49.0,0.2611372213575131,2.8598573733298653e-08,5.576658498855507
ADGRG1,3,64.0,0.2234181430177394,3.045904135924852e-08,5.559935620678282
IFI30,3,49.0,0.25623470370758034,3.6492689703177634e-08,5.533282506429693
TFF1,3,64.0,0.22452814644183702,3.7095086019927347e-08,5.524922617908334
TNFRSF12A,3,64.0,0.19527389747142485,4.494017848668096e-08,5.490646970596626
TNFRSF11B,3,49.0,0.27070067054978686,4.6812506930511126e-08,5.488645512348765
TNFRSF9,3,64.0,0.20470741456604016,4.8659772088925834e-08,5.476382330834757
CGB3_CGB5_CGB8,3,49.0,0.23982118784333678,5.239113781394283e-08,5.468357313803894
CHGA,3,64.0,0.25407192928244177,5.2660584404740325e-08,5.462174711492697
GFRAL,3,49.0,0.2700248121144994,5.517239364800328e-08,5.459013502461601
DKK3,3,64.0,0.20182520332108156,5.441847501168542e-08,5.4562604431270065
MOG,3,49.0,0.24276672087865664,5.941265165195089e-08,5.445612588487936
SRPX,3,49.0,0.24088583619952453,5.979270422753654e-08,5.4444571495941005
MYL3,3,49.0,0.25633139654639625,6.477727078443188e-08,5.429928978438886
NPPB,3,64.0,0.2325213686515094,6.875690582771646e-08,5.413966161689966
MOG,3,64.0,0.22188409745425025,6.95245910469932e-08,5.411950699353389
EBI3_IL27,3,64.0,0.22329384792520116,6.99818862356841e-08,5.4107603555437835
