biom,subtype,t_statistic,p_value,corrected_p_value,significant
SEPTIN9,2,3.809738974409811,0.00013938486806325086,1.0,False
SEPTIN9,3,-13.266290154988631,4.6830519949727725e-40,6.844280490652707e-36,True
SEPTIN9,4,20.259630344057133,1.1472915975830837e-90,1.676766669867677e-86,True
SEPTIN9,5,14.507655278619348,1.5576805055504444e-47,2.2765500588619744e-43,True
SERPINA1,1,-8.64458510475328,5.6580570475604965e-18,8.269250375009666e-14,True
SERPINA1,2,1.3001989570714623,0.19354255946365503,1.0,False
SERPINA1,3,-3.2525692396059145,0.0011449032504693172,1.0,False
SERPINA1,4,2.5250613531428825,0.011572807444794699,1.0,False
SERPINA1,5,12.256461218559629,1.8680172461335702e-34,2.730107205224213e-30,True
SERPINA11,1,-6.3853415208704405,1.7346069074216615e-10,2.5351279951967582e-06,True
SERPINA11,2,12.33422888234163,7.168955520128345e-35,1.0477428492667575e-30,True
SERPINA11,3,-22.04625514808434,7.032007989321012e-107,1.0277279676392658e-102,True
SERPINA11,4,-1.6348276955812366,0.10209543673758714,1.0,False
SERPINA11,5,23.164952804275792,1.0551946484224267e-117,1.5421669786693766e-113,True
SERPINA12,1,-7.4731096542453255,8.040851243660934e-14,1.1751704092610456e-09,True
SERPINA12,2,-1.3148830056704033,0.18855905729250827,1.0,False
SERPINA12,3,-0.6189759912275672,0.5359367731783269,1.0,False
SERPINA12,4,4.653023949790384,3.284679348832104e-06,0.0480055886831812,True
SERPINA12,5,7.776339370419947,7.698445230793118e-15,1.1251277704804142e-10,True
SERPINA3,1,-13.661874855258294,2.2826725037047032e-42,3.3361258641644236e-38,True
SERPINA3,2,-3.656755043220504,0.00025585522724161006,1.0,False
SERPINA3,3,-0.6048198323902775,0.5453031895540918,1.0,False
SERPINA3,4,10.988662039079218,4.8879516511987825e-28,7.14374133822702e-24,True
SERPINA3,5,11.842105912158646,2.7805011091985113e-32,4.063702371093625e-28,True
SERPINA4,1,-7.9959306334031455,1.3308767913327492e-15,1.945076430532813e-11,True
SERPINA4,2,6.7505385798198025,1.499198327943333e-11,2.1910783562891811e-07,True
SERPINA4,3,-5.416135682604682,6.135827335877537e-08,0.000896751165138502,True
SERPINA4,4,6.394335083268652,1.635659294637347e-10,2.3905160591124827e-06,True
SERPINA4,5,0.6926944607356356,0.4885065612946229,1.0,False
SERPINA5,1,-16.640857073767805,6.59203896955892e-62,9.634264954010363e-58,True
SERPINA5,2,6.27063176997264,3.643740462252567e-10,5.3253266855821266e-06,True
SERPINA5,3,-6.416532274756399,1.4144544608284703e-10,2.0672251945008095e-06,True
SERPINA5,4,12.572708233424065,3.6640920992673445e-36,5.355070603079224e-32,True
SERPINA5,5,7.366669916864698,1.7934588735713394e-13,2.6211401437245128e-09,True
SERPINA6,1,2.29382911160722,0.021807045158733076,1.0,False
SERPINA6,2,-1.9315463777662074,0.053424722377535774,1.0,False
SERPINA6,3,11.281101386656355,1.859752911935615e-29,2.7180288807939016e-25,True
SERPINA6,4,-8.146955285867673,3.8724346205806826e-16,5.6595631979786674e-12,True
SERPINA6,5,-4.019629548461053,5.842893511646238e-05,0.8539388867270977,False
SERPINA7,1,-18.263067309452815,4.029417461832758e-74,5.888993620468575e-70,True
SERPINA7,2,1.3195591002795717,0.18699211671298197,1.0,False
SERPINA7,3,-6.521327975748911,7.077026697417585e-11,1.03430745182758e-06,True
SERPINA7,4,13.284397382039955,3.682540059741577e-40,5.3820322973123155e-36,True
SERPINA7,5,16.241784824014964,4.508343160842247e-59,6.588943529570945e-55,True
SERPINA9,1,-14.488495405750326,2.0552313666373201e-47,3.0037206423404434e-43,True
SERPINA9,2,14.586049423005743,4.992354505517911e-48,7.296326109814428e-44,True
SERPINA9,3,-24.950306046304863,4.833165559610205e-136,7.063671465370314e-132,True
SERPINA9,4,7.005888361627549,2.504843110756857e-12,3.6608282063711466e-08,True
SERPINA9,5,23.998480099877806,4.206283229361083e-126,6.147482939711223e-122,True
SERPINB1,1,-26.399091005879026,7.014530453428556e-152,1.0251736257685834e-147,True
SERPINB1,2,2.441367645165328,0.014637364239702926,1.0,False
SERPINB1,3,-17.164983267272316,9.857411485175212e-66,1.4406606885583573e-61,True
SERPINB1,4,31.49523166807201,2.6383514055571286e-214,3.855950579221743e-210,True
SERPINB1,5,15.753233516830297,1.0795569133712986e-55,1.577772428892153e-51,True
SERPINB5,1,-3.2041582595415314,0.001355965029689903,1.0,False
SERPINB5,2,7.0211118216456745,2.2468756330185044e-12,3.283808737656544e-08,True
SERPINB5,3,-8.286638017585302,1.2118734560289662e-16,1.771153055986334e-12,True
SERPINB5,4,-0.19300548001933412,0.8469559544686899,1.0,False
SERPINB5,5,5.8925382338708605,3.842762445074574e-09,5.61619731347649e-05,True
SERPINB6,1,-26.181437742494293,1.904722809751421e-149,2.7837523864517018e-145,True
SERPINB6,2,8.343749205161346,7.495201898881418e-17,1.0954237575215191e-12,True
SERPINB6,3,-23.54193884834083,1.8188118325894917e-121,2.658193493329542e-117,True
SERPINB6,4,28.505780528325992,1.9949681700548847e-176,2.915645980535214e-172,True
SERPINB6,5,19.124412244294806,4.693426405304183e-81,6.859442691352064e-77,True
SERPINB8,1,-26.936952396484195,5.614030616968748e-158,8.204905746699825e-154,True
SERPINB8,2,11.657511562321544,2.446586611985128e-31,3.575686333416265e-27,True
SERPINB8,3,-29.024599093344577,9.577412376224216e-183,1.399738818785169e-178,True
SERPINB8,4,18.674362585835055,2.1531955460459463e-77,3.1468952905461506e-73,True
SERPINB8,5,36.54448723757847,3.054838256647163e-286,4.4646461120898285e-282,True
SERPINB9,1,-16.826318760573315,3.010735239715923e-63,4.4001895528448215e-59,True
SERPINB9,2,5.683738644398872,1.3297586442258965e-08,0.00019434422585361478,True
SERPINB9,3,-16.06346634842895,7.926572635231376e-58,1.1584685906390656e-53,True
SERPINB9,4,21.42045473736388,4.747405867615823e-101,6.938333675520525e-97,True
SERPINB9,5,8.754167536595286,2.159497693871474e-18,3.15610587959316e-14,True
SERPINC1,1,7.136261114320616,9.803127663220537e-13,1.4327271079796815e-08,True
SERPINC1,2,8.269679252653102,1.3968644156989444e-16,2.0415173435440072e-12,True
SERPINC1,3,-3.3480318202828774,0.0008148556459296478,1.0,False
SERPINC1,4,-6.9726585344254275,3.1730036711491108e-12,4.637344865384425e-08,True
SERPINC1,5,-8.89468109413224,6.172796173644383e-19,9.021541607781266e-15,True
SERPIND1,1,-29.26157849764482,1.1462439238314997e-185,1.6752354946797368e-181,True
SERPIND1,2,-17.18348246693103,7.188488676580192e-66,1.0505976200821952e-61,True
SERPIND1,3,5.225133108539316,1.7516678374783512e-07,0.0025600625444746105,True
SERPIND1,4,37.33126043881776,2.4687043232171737e-298,3.6080113683818996e-294,True
SERPIND1,5,11.435852896725285,3.187660832446649e-30,4.6587663066207775e-26,True
SERPINE1,1,-33.8936425484098,3.0478000352022174e-247,4.454359751448041e-243,True
SERPINE1,2,-0.6855028072190338,0.4930318714429228,1.0,False
SERPINE1,3,-16.28107328953024,2.387215284383259e-59,3.488915138126133e-55,True
SERPINE1,4,37.92162866667885,1.4605553445683925e-307,2.1346016360867055e-303,True
SERPINE1,5,21.858991864084707,4.059188204952408e-105,5.932503561537944e-101,True
SERPINE2,1,-22.713846672313707,2.818386264287265e-113,4.1190715252558376e-109,True
SERPINE2,2,0.19825759965634052,0.8428448378966933,1.0,False
SERPINE2,3,-11.88009875131882,1.7698725923201305e-32,2.5866687936758706e-28,True
SERPINE2,4,26.211516327834424,8.803025583457555e-150,1.2865621890223215e-145,True
SERPINE2,5,13.737174283332676,8.143615837318194e-43,1.190189454624054e-38,True
SERPINF1,1,-36.836442422824824,1.0596529054448526e-290,1.548682721307652e-286,True
SERPINF1,2,17.758233505970846,3.346942496296236e-70,4.891556458336949e-66,True
SERPINF1,3,-35.986138718959445,8.387624816641373e-278,1.2258513669521365e-273,True
SERPINF1,4,29.34487056492244,1.064037079645196e-186,1.5550901919014538e-182,True
SERPINF1,5,36.45527871391217,6.938029079106541e-285,1.0139929499114209e-280,True
SERPINF2,1,-9.118381117100606,8.07761287131652e-20,1.1805431211429094e-15,True
SERPINF2,2,5.603861545898875,2.1142587550319946e-08,0.00030899891704792604,True
SERPINF2,3,-6.6913399500773085,2.2493880950403607e-11,3.2874807009014873e-07,True
SERPINF2,4,9.855701980903943,7.003922431914123e-23,1.0236232634242491e-18,True
SERPINF2,5,0.8968428696309677,0.36980980889752235,1.0,False
SERPING1,1,-8.533108904692611,1.4892428743119694e-17,2.1765284608069433e-13,True
SERPING1,2,4.4693712209294665,7.873053253018878e-06,0.1150646732928709,False
SERPING1,3,-7.403702035762263,1.35839793864232e-13,1.9852985873257506e-09,True
SERPING1,4,7.599664560114092,3.053580226214557e-14,4.4628075006125755e-10,True
SERPING1,5,5.736763588845285,9.740963093990626e-09,0.000142364175618673,True
SERPINH1,1,-23.83136746858545,2.1416189128239695e-124,3.1299760410922314e-120,True
SERPINH1,2,-0.1968134499999012,0.843974829635027,1.0,False
SERPINH1,3,-11.340724438831662,9.452405818285668e-30,1.3814691103424503e-25,True
SERPINH1,4,28.147845105282677,3.947969325521163e-172,5.769957169249179e-168,True
SERPINH1,5,12.659709477466544,1.2212145926097966e-36,1.784805127099218e-32,True
SERPINI1,1,-9.568410753556494,1.1639589328293271e-21,1.7011259803300617e-17,True
