"Description",".sign","p.adjust","GeneRatio","Subtype"
"autophagy","suppressed",0.0114580589592532,0.517543859649123,2
"process utilizing autophagic mechanism","suppressed",0.0114580589592532,0.517543859649123,2
"cell cycle process","suppressed",0.0114580589592532,0.437810945273632,2
"multicellular organism development","activated",0.0114580589592532,0.227954971857411,2
"mitotic cell cycle process","suppressed",0.012356353949269,0.538461538461538,2
"regulation of leukocyte migration","activated",0.0125486884076005,0.396396396396396,2
"regulation of leukocyte activation","activated",0.0125486884076005,0.299107142857143,2
"regulation of cyclin-dependent protein serine/threonine kinase activity","suppressed",0.0142321207963221,0.769230769230769,2
"antimicrobial humoral response","activated",0.0142321207963221,0.470588235294118,2
"negative regulation of immune system process","activated",0.0142321207963221,0.254807692307692,2
"anatomical structure formation involved in morphogenesis","activated",0.0142321207963221,0.291208791208791,2
"humoral immune response","activated",0.0153267090558073,0.398648648648649,2
"positive regulation of vascular associated smooth muscle cell differentiation","suppressed",0.0243703221059408,0.666666666666667,2
"vasculature development","activated",0.0243703221059408,0.341818181818182,2
"negative regulation of multicellular organismal process","activated",0.0244039597812165,0.251989389920424,2
"positive regulation of ubiquitin-dependent protein catabolic process","suppressed",0.0259969426707203,0.75,2
"negative regulation of cell differentiation","activated",0.0259969426707203,0.269938650306748,2
"chemotaxis","activated",0.0259969426707203,0.353535353535354,2
"taxis","activated",0.0259969426707203,0.353535353535354,2
"tube morphogenesis","activated",0.0259969426707203,0.332225913621262,2
"cell adhesion","activated",0.0259969426707203,0.275979557069847,2
"anatomical structure morphogenesis","activated",0.0259969426707203,0.254814814814815,2
"post-translational protein modification","suppressed",0.0273023337741471,0.47,2
"cartilage development","activated",0.0281266876008623,0.409836065573771,2
"protein modification by small protein conjugation or removal","suppressed",0.0316789161417114,0.478260869565217,2
"system development","activated",0.0324391177028787,0.228144989339019,2
"regulation of ubiquitin-dependent protein catabolic process","suppressed",0.034555537556181,0.558823529411765,2
"microtubule-based process","suppressed",0.0365291423061525,0.485074626865672,2
"regulation of immune system process","activated",0.0427943653662666,0.274223034734918,2
"mitotic cell cycle","suppressed",0.0430242847540278,0.5,2
"negative regulation of BMP signaling pathway","activated",0.0444292656930261,0.35,2
"proteasomal protein catabolic process","suppressed",0.0444292656930261,0.531645569620253,2
"chromatin organization","suppressed",0.0445809662617227,0.410112359550562,2
"circulatory system development","activated",0.0445809662617227,0.32069970845481,2
"regulation of syncytium formation by plasma membrane fusion","activated",0.048807658545678,0.666666666666667,2
"translation","suppressed",0.0494274263209174,0.434782608695652,2
"signal transduction","activated",2.21566666666667e-07,0.285399853264857,3
"signaling","activated",2.21566666666667e-07,0.278733654507915,3
"cell communication","activated",2.21566666666667e-07,0.280521262002743,3
"response to stimulus","activated",1.96389689156599e-05,0.271077908217716,3
"cell surface receptor signaling pathway","activated",3.49706043251036e-05,0.288941736028537,3
"cellular response to stimulus","activated",3.49706043251036e-05,0.267902813299233,3
"angiogenesis","activated",6.57844933200215e-05,0.421052631578947,3
"blood vessel development","activated",6.57844933200215e-05,0.368421052631579,3
"anatomical structure formation involved in morphogenesis","activated",7.16415103577461e-05,0.362637362637363,3
"anatomical structure development","activated",0.000192884119871328,0.295774647887324,3
"blood vessel morphogenesis","activated",0.000270112420343462,0.368,3
"cell adhesion","activated",0.000294764226366704,0.330494037478705,3
"developmental process","activated",0.000372217346740823,0.289985052316891,3
"vasculature development","activated",0.000938977755832715,0.36,3
"tube morphogenesis","activated",0.00096449012134472,0.352159468438538,3
"system development","activated",0.00096449012134472,0.376332622601279,3
"multicellular organism development","activated",0.0012036116843971,0.366791744840525,3
"anatomical structure morphogenesis","activated",0.00172311628447775,0.29037037037037,3
"circulatory system development","activated",0.0020435486904924,0.36734693877551,3
"antimicrobial humoral response","activated",0.00365164426314422,0.494117647058824,3
"multicellular organismal process","activated",0.00433179079290637,0.307741116751269,3
"regulation of cellular process","activated",0.00502015809920761,0.268329177057357,3
"tube development","activated",0.00609312781727591,0.375,3
"regulation of biological process","activated",0.00645796709104034,0.266826923076923,3
"cell migration","activated",0.00887910909625868,0.347912524850895,3
"regulation of cell population proliferation","activated",0.024946052229107,0.308118081180812,3
"antimicrobial humoral immune response mediated by antimicrobial peptide","activated",0.0264959188547759,0.47887323943662,3
"cell motility","activated",0.0293339493437204,0.340344168260038,3
"positive regulation of fibrinolysis","suppressed",0.0342733880873682,0.75,3
"cell population proliferation","activated",0.0342733880873682,0.273789649415693,3
"biological regulation","activated",0.0342733880873682,0.26347866854196,3
"regulation of leukocyte activation","activated",0.0355926398416152,0.3125,3
"cell surface receptor protein serine/threonine kinase signaling pathway","activated",0.0375573354587716,0.409090909090909,3
"immune system process","activated",0.0436601429507268,0.287259615384615,3
"anatomical structure development","activated",4.8377197064466e-06,0.242566510172144,4
"developmental process","activated",4.8377197064466e-06,0.238415545590433,4
"system development","activated",4.40455557382196e-05,0.254797441364606,4
"multicellular organism development","activated",6.37271896777154e-05,0.24953095684803,4
"anatomical structure morphogenesis","activated",0.000100793890035732,0.262222222222222,4
"cell communication","activated",0.000100793890035732,0.235253772290809,4
"multicellular organismal process","activated",0.000121086297172231,0.230964467005076,4
"anatomical structure formation involved in morphogenesis","activated",0.000133127365131843,0.266483516483516,4
"signaling","activated",0.000142433932948186,0.234686854783207,4
"cell surface receptor signaling pathway","activated",0.00014248498741369,0.282996432818074,4
"signal transduction","activated",0.000342140450770606,0.236977256052825,4
"cell adhesion","activated",0.00135124011693259,0.34412265758092,4
"cellular catabolic process","suppressed",0.00584925749345657,0.308510638297872,4
"blood vessel development","activated",0.00618626296509332,0.330827067669173,4
"regulation of blood coagulation","suppressed",0.00686208833424186,0.523809523809524,4
"regulation of body fluid levels","suppressed",0.00686208833424186,0.323943661971831,4
"angiogenesis","activated",0.00686208833424186,0.289473684210526,4
"blood vessel morphogenesis","activated",0.00686208833424186,0.284,4
"enzyme-linked receptor protein signaling pathway","activated",0.00686208833424186,0.249240121580547,4
"response to stimulus","activated",0.00686208833424186,0.234791889007471,4
"tube morphogenesis","activated",0.00750199116116528,0.272425249169435,4
"hemostasis","suppressed",0.00818604951146281,0.36283185840708,4
"blood coagulation","suppressed",0.0104608374817042,0.363636363636364,4
"coagulation","suppressed",0.0104608374817042,0.363636363636364,4
"small molecule metabolic process","suppressed",0.0120225970264262,0.336842105263158,4
"antimicrobial humoral response","activated",0.0142100196215391,0.529411764705882,4
"negative regulation of blood coagulation","suppressed",0.0154298172733097,0.542857142857143,4
"small molecule catabolic process","suppressed",0.0154298172733097,0.307692307692308,4
"circulatory system development","activated",0.0154298172733097,0.309037900874636,4
"animal organ development","activated",0.0154298172733097,0.248108925869894,4
"regulation of hemostasis","suppressed",0.017786019458865,0.511627906976744,4
"regulation of coagulation","suppressed",0.017786019458865,0.478260869565217,4
"vasculature development","activated",0.017786019458865,0.327272727272727,4
"negative regulation of wound healing","suppressed",0.0207501665261267,0.446808510638298,4
"cell differentiation","activated",0.0207501665261267,0.23906083244397,4
"cellular developmental process","activated",0.0207501665261267,0.23906083244397,4
"tube development","activated",0.022212986068931,0.25,4
"sulfur compound metabolic process","suppressed",0.0287265410854786,0.287878787878788,4
"amino acid metabolic process","suppressed",0.0287265410854786,0.409090909090909,4
"organic acid metabolic process","suppressed",0.0290956115464748,0.252525252525253,4
"regulation of cell population proliferation","activated",0.0313677099548844,0.269372693726937,4
"regulation of cellular process","activated",0.0313677099548844,0.251371571072319,4
"regulation of biological process","activated",0.0313677099548844,0.250961538461538,4
"monocarboxylic acid metabolic process","suppressed",0.0340613709652289,0.296875,4
"negative regulation of coagulation","suppressed",0.0350978928025761,0.513513513513513,4
"myofibril assembly","activated",0.0393652577139859,0.590909090909091,4
"regulation of wound healing","suppressed",0.0393652577139859,0.376811594202899,4
"regulation of cellular response to growth factor stimulus","activated",0.0393652577139859,0.330188679245283,4
"animal organ morphogenesis","activated",0.0393652577139859,0.296296296296296,4
"negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","activated",0.0420561353958832,0.319148936170213,4
"retina vasculature development in camera-type eye","activated",0.0432885606571298,0.5,4
"positive regulation of syncytium formation by plasma membrane fusion","activated",0.0432885606571298,0.857142857142857,4
"muscle cell development","activated",0.0432885606571298,0.41304347826087,4
"cell surface receptor protein serine/threonine kinase signaling pathway","activated",0.0432885606571298,0.245454545454545,4
"cellular response to growth factor stimulus","activated",0.0432885606571298,0.233463035019455,4
"wound healing","suppressed",0.0432885606571298,0.333333333333333,4
"negative regulation of hemostasis","suppressed",0.0436437802889981,0.527777777777778,4
"negative regulation of protein processing","suppressed",0.0449017270572096,0.6,4
"response to growth factor","activated",0.0487274077711711,0.234848484848485,4
"cell cycle","suppressed",6.665e-08,0.534351145038168,5
"catabolic process","suppressed",6.665e-08,0.434470377019749,5
"primary metabolic process","suppressed",6.665e-08,0.458862876254181,5
"cell communication","activated",6.665e-08,0.260631001371742,5
"metabolic process","suppressed",6.665e-08,0.391922639362912,5
"signal transduction","activated",6.665e-08,0.264123257520176,5
"signaling","activated",6.665e-08,0.259463179628355,5
"developmental process","activated",6.665e-08,0.214499252615845,5
"anatomical structure development","activated",6.665e-08,0.216744913928013,5
"multicellular organismal process","activated",6.665e-08,0.255710659898477,5
"nucleobase-containing compound metabolic process","suppressed",6.77403917265047e-08,0.487698986975398,5
"amino acid metabolic process","suppressed",6.92561349522738e-08,0.606060606060606,5
