protein,subtype,beta,pvalue,qvalue,p_corrected
TADA3,3,0.0016504706251966226,0.3143047063196873,0.3850430245483848,1.0
TADA3,4,-0.017763561987831116,1.5290598540991422e-27,7.759447835992696e-27,4.469441953531793e-24
TADA3,5,-0.005493606750585994,0.01684055339485886,0.03351079275726734,1.0
TAFA5,1,0.01187569148213616,7.786963423834952e-32,4.230723808154195e-31,2.2761294087869567e-28
TAFA5,2,0.02264608104769457,3.537980507428714e-88,5.471702128684726e-87,1.0341517023214131e-84
TAFA5,3,0.017062232342544947,2.2162792059217636e-32,1.8886834165916372e-31,6.478184118909315e-29
TAFA5,4,0.022253482019203297,2.0375199528262274e-67,3.290425868569648e-66,5.9556708221110625e-64
TAFA5,5,0.04077834667679884,1.1005392836084107e-51,3.4590068021369723e-50,3.2168763259873846e-48
TAGLN3,1,-0.0006187901517007949,0.6561997784815503,0.7075145527486432,1.0
TAGLN3,2,-0.0011492043718910514,0.4277022194748512,0.5296163426256558,1.0
TAGLN3,3,-0.002553355759002142,0.10309821621344484,0.14488273364995158,1.0
TAGLN3,4,0.0011003529216107423,0.46563267053571733,0.5204758302011097,1.0
TAGLN3,5,0.0004229855097633124,0.845342655913393,0.87621864653718,1.0
TALDO1,1,0.007668403206976815,3.629171615205418e-11,1.0813525617987194e-10,1.0608068631245437e-07
TALDO1,2,0.001805544993939563,0.1740930370988778,0.2525429019553448,1.0
TALDO1,3,0.007382714685288778,5.805602507832749e-06,1.6115646847478752e-05,0.016969776130395128
TALDO1,4,-0.01848955545867863,1.4168484958516673e-31,9.837169010390555e-31,4.141448153374423e-28
TALDO1,5,-0.00758420052451361,0.0021032330009949233,0.0055585443597722965,1.0
TANK,1,0.0028780527801134576,0.019158804095834966,0.029645941965127376,1.0
TANK,2,-0.003724980468901572,0.007485216988851809,0.01514137664942134,1.0
TANK,3,0.003521231931082316,0.03387572771601953,0.05352364979131086,1.0
TANK,4,-0.017220298416602463,3.114032198266322e-28,1.682498357769401e-27,9.102316115532459e-25
TANK,5,-0.008276030890700165,0.0004838475155073531,0.0014809280500816683,1.0
TAP1,1,-0.0024133653291496665,0.06740725262694777,0.09324723115407872,1.0
TAP1,2,-0.002924275338744473,0.051596360866418785,0.08845522745603643,1.0
TAP1,3,-0.0035637683197884138,0.028884409950768693,0.046110939533641114,1.0
TAP1,4,-0.002099593002215211,0.15342034889930956,0.19091003824294672,1.0
TAP1,5,0.0008751118704897899,0.7025335793160543,0.7588712684186352,1.0
TARBP2,1,0.005250283302023368,1.068312043330713e-05,2.4039077002738063e-05,0.03122676102655674
TARBP2,2,-0.00027518432399998536,0.8394644663016532,0.8816940837225054,1.0
TARBP2,3,0.005945000420581668,0.0004185362106605534,0.000923306674536451,1.0
TARBP2,4,-0.01576804501140453,2.308228876834994e-23,8.983958731010237e-23,6.746953006988687e-20
TARBP2,5,-0.003888970595260565,0.08962128878635157,0.13722526302907578,1.0
TARM1,1,0.0010043741631223621,0.4685015472979138,0.5330595651038544,1.0
TARM1,2,5.052492203764247e-05,0.9712921883412937,0.9783859281704249,1.0
TARM1,3,-0.004092374871855306,0.014815782388543829,0.025178216233554426,1.0
TARM1,4,-0.002734104825837262,0.06440053221226438,0.08471771181658362,1.0
TARM1,5,-0.003447147031995419,0.11357417049017712,0.1670746353008494,1.0
TARS1,1,-0.0013462814192043912,0.2941960606881235,0.3541742526323661,1.0
TARS1,2,-0.0033890815253777655,0.015962246262066732,0.03055510532024955,1.0
TARS1,3,0.00016879005799937184,0.9220768771442374,0.9374715519626455,1.0
TARS1,4,-0.008767567630694058,1.1832390138340033e-08,2.3624369108174805e-08,3.4586076374367914e-05
TARS1,5,-0.007005822499255748,0.0013721306474392561,0.0038315941441252883,1.0
TAX1BP1,1,0.0034501453877337084,0.003295369283503324,0.00571314615402148,1.0
TAX1BP1,2,0.0029740463665028916,0.025541099512547304,0.046983407095768266,1.0
TAX1BP1,3,0.006170698125425516,0.0003005042117216245,0.0006824971335371472,0.8783738108623084
TAX1BP1,4,-0.011653070597784589,1.424479778935028e-12,3.3714610476332683e-12,4.1637543938270865e-09
TAX1BP1,5,-0.0029234146674701985,0.2080708568087048,0.2782210038663514,1.0
TBC1D17,1,0.0019088047581611014,0.12474799723411316,0.163368456951305,1.0
TBC1D17,2,-0.0008121317981859824,0.5605601341428631,0.6551448508994757,1.0
TBC1D17,3,0.0030435429501905406,0.06327686137892292,0.09383981015250721,1.0
TBC1D17,4,-0.0024459282985039607,0.12939806032888848,0.16303040100919872,1.0
TBC1D17,5,-0.0045023083402727,0.060942776200291475,0.10041473214963471,1.0
TBC1D23,1,0.0023929628877564315,0.04765782438822176,0.06842034414870934,1.0
TBC1D23,2,-0.0019822396294117135,0.1471335409651413,0.2193122591744559,1.0
TBC1D23,3,0.0036648409245807717,0.032938324429151226,0.05212708300292856,1.0
TBC1D23,4,-0.016686539691104015,1.3273864567334512e-25,5.896581478771851e-25,3.879950613031878e-22
TBC1D23,5,-0.006201427485355557,0.007236743233599341,0.016284065028337857,1.0
TBC1D5,1,0.002528775832991676,0.03947184006019011,0.05737254524909781,1.0
TBC1D5,2,-0.0006443982652236631,0.6385557880200408,0.7217705214163105,1.0
TBC1D5,3,0.003988626640193671,0.01869645283854505,0.030980573496069832,1.0
TBC1D5,4,-0.012513107902433214,6.8157095091514426e-15,1.7645986621124593e-14,1.9922318895249668e-11
TBC1D5,5,-0.007293684725280543,0.0016947030399594885,0.0045824393948210775,1.0
TBCA,1,0.004278783860079387,0.00040311414725150997,0.0007855351016107756,1.0
TBCA,2,-0.00011048676296384913,0.9361558432773907,0.9517855756173262,1.0
TBCA,3,0.004988101110101961,0.0021666903686125586,0.004276324069854497,1.0
TBCA,4,-0.017279006890858782,6.3883626616004836e-27,3.1173929983068804e-26,1.8673184059858214e-23
TBCA,5,-0.004512053627802625,0.05111021175380557,0.08680717545402306,1.0
TBCB,1,0.0034678530293922585,0.0056700988388564575,0.009530591665311918,1.0
TBCB,2,-0.001010815581692993,0.46176663172073595,0.5641909125664639,1.0
TBCB,3,0.005634828464268072,0.0012657890394710879,0.002612924690942083,1.0
TBCB,4,-0.015618016606716545,1.4251641870823745e-25,6.3213276461939e-25,4.1657549188417807e-22
TBCB,5,-0.004412955076577919,0.0471636481150492,0.08121186114459121,1.0
TBCC,1,0.003681746790745473,0.0024143758977122312,0.004287497417383263,1.0
TBCC,2,-0.0008774834993651758,0.522039189556073,0.6210502853367527,1.0
TBCC,3,0.005278484861409884,0.0019529952015044318,0.003896658685322494,1.0
TBCC,4,-0.017770036035927934,2.471261195395835e-30,1.580633801781625e-29,7.223496474142026e-27
TBCC,5,-0.0050188333698554695,0.026008698285356752,0.04857726842689954,1.0
