"Description",".sign","p.adjust","GeneRatio","subtype"
"extracellular matrix organization","activated",0.000286883067815363,0.540322580645161,2
"extracellular structure organization","activated",0.000286883067815363,0.540322580645161,2
"external encapsulating structure organization","activated",0.000286883067815363,0.540322580645161,2
"collagen-activated signaling pathway","activated",0.000302463323093405,0.805555555555556,2
"cell-cell adhesion via plasma-membrane adhesion molecules","activated",0.000302463323093405,0.627450980392157,2
"regulation of locomotion","activated",0.000302463323093405,0.394179894179894,2
"regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","activated",0.000341400546986319,0.45,2
"regulation of biological process","activated",0.000393616768483556,0.305288461538462,2
"tissue development","activated",0.000401685069020515,0.391208791208791,2
"regulation of cell adhesion","activated",0.000402505211382582,0.428104575163399,2
"cell surface receptor protein serine/threonine kinase signaling pathway","activated",0.000471981846355104,0.390909090909091,2
"regulation of multicellular organismal development","activated",0.000471981846355104,0.388235294117647,2
"regulation of cellular response to growth factor stimulus","activated",0.000485114307223747,0.358490566037736,2
"insulin-like growth factor receptor signaling pathway","activated",0.000497866130050745,0.693877551020408,2
"response to BMP","activated",0.000792140874400575,0.60377358490566,2
"cellular response to BMP stimulus","activated",0.000792140874400575,0.60377358490566,2
"hepatocyte growth factor receptor signaling pathway","activated",0.00109866907851552,0.764705882352941,2
"axon guidance","activated",0.00121727092282457,0.5,2
"neuron projection guidance","activated",0.00121727092282457,0.5,2
"positive regulation of multicellular organismal process","activated",0.00148268622427206,0.372222222222222,2
"BMP signaling pathway","activated",0.00163246677003371,0.604166666666667,2
"ephrin receptor signaling pathway","activated",0.00165900625427438,0.65,2
"transforming growth factor beta receptor superfamily signaling pathway","activated",0.00189694294082778,0.384615384615385,2
"collagen-activated tyrosine kinase receptor signaling pathway","activated",0.00194272879444512,0.787878787878788,2
"locomotion","activated",0.00207927053480911,0.380841121495327,2
"negative regulation of multicellular organismal process","activated",0.00230320703020417,0.511936339522546,2
"brain development","activated",0.00232016954609268,0.380952380952381,2
"response to endogenous stimulus","activated",0.00233672335381364,0.362637362637363,2
"platelet-derived growth factor receptor-beta signaling pathway","activated",0.00274868445716899,0.657894736842105,2
"regulation of cell differentiation","activated",0.0027598076250566,0.361386138613861,2
"vascular endothelial growth factor receptor-1 signaling pathway","activated",0.00305084543188794,0.8,2
"response to stem cell factor","activated",0.00305084543188794,0.774193548387097,2
"cellular response to stem cell factor stimulus","activated",0.00305084543188794,0.774193548387097,2
"Kit signaling pathway","activated",0.00305084543188794,0.774193548387097,2
"head development","activated",0.00314008598711753,0.378205128205128,2
"insulin receptor signaling pathway","activated",0.00351153221228959,0.517857142857143,2
"anatomical structure formation involved in morphogenesis","activated",0.00355367147957796,0.370879120879121,2
"negative regulation of response to stimulus","activated",0.00375379377141476,0.334728033472803,2
"leukocyte activation","activated",0.00406794475464684,0.426592797783933,2
"macrophage colony-stimulating factor signaling pathway","activated",0.00418143497070788,0.757575757575758,2
"biological regulation","activated",0.00421521964621042,0.29676511954993,2
"regulation of cell population proliferation","activated",0.00440139587246938,0.3690036900369,2
"cell surface receptor protein tyrosine kinase signaling pathway","activated",0.00458377288353469,0.377777777777778,2
"cell population proliferation","activated",0.00461246999348153,0.357262103505843,2
"brain-derived neurotrophic factor receptor signaling pathway","activated",0.00493758500697188,0.75,2
"skeletal system development","activated",0.00496221090780427,0.496062992125984,2
"symbiont entry into host","activated",0.00513193839598309,0.575342465753425,2
"cellular response to macrophage colony-stimulating factor stimulus","activated",0.00580296961519169,0.714285714285714,2
"regulation of cell communication","activated",0.00588995689437734,0.304449648711944,2
"response to macrophage colony-stimulating factor","activated",0.00590457468584672,0.789473684210526,2
"regulation of BMP signaling pathway","activated",0.00591891667995635,0.628571428571429,2
"symbiont entry into host cell","activated",0.00662690014344572,0.583333333333333,2
"positive regulation of cell motility","activated",0.00697803095640927,0.402597402597403,2
